"","danceability","energy","key","loudness","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration_ms","time_signature","saved"
"256",0.575,0.795,7,-6.72,0.0343,0.0228,0.159,0.118,0.561,100.81,207552,4,1
"257",0.815,0.887,7,-6.42,0.0526,0.121,0.773,0.278,0.93,109.96,209453,4,1
"258",0.364,0.535,8,-10.376,0.0367,0.58,0.89,0.323,0.199,78.658,265131,4,1
"259",0.409,0.219,5,-14.538,0.0511,0.851,0.00221,0.115,0.233,68.956,396573,4,1
"261",0.457,0.657,10,-6.701,0.031,0.0252,0.805,0.0646,0.306,99.22,274787,4,1
"262",0.888,0.439,9,-9.943,0.0601,0.306,0.000492,0.269,0.86,105.685,250720,4,1
"263",0.581,0.519,9,-11.893,0.0746,0.0386,0.00482,0.165,0.708,111.397,375973,4,1
"264",0.82,0.908,10,-6.151,0.124,0.328,0.00155,0.296,0.919,98.381,176693,4,1
"265",0.434,0.782,4,-8.022,0.0358,0.0546,0.00286,0.241,0.672,161.28,218240,4,1
"266",0.597,0.788,7,-7.998,0.0299,0.0148,0.0237,0.0638,0.952,144.866,205880,4,1
"267",0.418,0.652,11,-6.289,0.0443,0.0484,0.0531,0.213,0.851,135.002,232448,3,1
"268",0.616,0.45,5,-16.234,0.0276,0.875,0.928,0.251,0.464,111.486,214226,4,1
"270",0.623,0.684,2,-8.239,0.0551,0.0276,0.331,0.193,0.638,136.649,222692,4,1
